Ä£°å,¾ä×Ó±êºÅ
<*> <*> <*> <*> INFO nova.virt.libvirt.imagecache <*> - - - - -] image <*> at <*> checking,"11,27,37,95,105,120,184,197,213,226,271,284,305,309,369,379,394,418,461,473,488,502,543,555,576,582,632,646,664,670,739,749,763,821,837,854,866,910,923,941,947,1023,1037,1046,1108,1120,1135,1150,1191,1204,1221,1232,1291,1304,1323,1328,1397,1407,1420,1480,1490,1505,1521,1568,1581,1598,1607,1671,1685,1700,1705,1766,1775,1790,1854,1866,1883,1893,1947,1959,1976,1981"
<*> <*> <*> <*> INFO nova.compute.resource_tracker <*> - - - - -] Compute_service record updated for <*>,"36,168,303,430,564,705,834,987,1105,1257,1388,1533,1670,1814,1940"
"<*> <*> <*> <*> INFO nova.metadata.wsgi.server [-] <*> ""GET <*> <*> status: <*> len: <*> time: <*>","41,45,125,127,130,131,132,133,134,218,219,220,398,400,401,403,404,406,675,677,679,681,682,767,769,861,862,946,950,952,953,955,957,958,959,960,961,962,963,964,965,969,1052,1054,1140,1227,1228,1229,1231,1236,1237,1238,1239,1240,1332,1336,1338,1340,1342,1424,1425,1428,1429,1509,1512,1603,1604,1606,1610,1611,1616,1617,1618,1619,1620,1621,1711,1712,1713,1794,1797,1798,1799,1887,1890,1984,1989,1992,1994"
"<*> <*> <*> <*> INFO nova.virt.libvirt.imagecache <*> - - - - -] image <*> at <*> in use: on this node <*> local, <*> on other nodes sharing this instance storage","12,28,38,96,106,121,185,198,214,227,272,285,306,310,370,380,395,419,462,474,489,503,544,556,577,583,633,647,665,671,740,750,764,822,838,855,867,911,924,942,948,1024,1038,1047,1109,1121,1136,1151,1192,1205,1222,1233,1292,1305,1324,1329,1398,1408,1421,1481,1491,1506,1522,1569,1582,1599,1608,1672,1686,1701,1706,1767,1776,1791,1855,1867,1884,1894,1948,1960,1977,1982"
<*> <*> <*> <*> INFO nova.virt.libvirt.imagecache <*> - - - - -] Active <*> <*> <*>,"13,30,39,98,107,122,186,199,215,228,273,286,307,311,371,387,396,420,463,475,490,504,545,557,578,584,635,648,667,672,742,751,765,823,840,856,870,912,926,943,951,1025,1042,1048,1112,1122,1137,1152,1193,1206,1223,1235,1293,1307,1325,1330,1400,1409,1422,1483,1493,1507,1524,1570,1583,1601,1612,1673,1687,1702,1707,1768,1777,1792,1856,1868,1885,1897,1949,1961,1978,1985"
<*> <*> <*> <*> INFO nova.compute.manager <*> <*> <*> - - -] [instance: <*> <*> instance,"46,136,222,316,409,495,588,684,772,864,968,1059,1143,1242,1344,1431,1515,1623,1715,1802,1896,1996"
<*> <*> <*> <*> WARNING nova.virt.libvirt.imagecache <*> - - - - -] Unknown <*> <*> <*>,"56,146,237,240,326,331,424,510,600,603,693,782,788,879,981,1068,1158,1258,1261,1354,1440,1534,1537,1633,1638,1725,1815,1821,1909,1912"
<*> <*> <*> <*> INFO nova.virt.libvirt.imagecache <*> - - - - -] Removable <*> <*> <*>,"57,147,238,241,327,332,425,511,601,604,694,783,789,880,982,1069,1159,1259,1262,1355,1441,1535,1538,1635,1639,1726,1816,1822,1910,1913"
<*> <*> <*> <*> INFO nova.compute.claims <*> <*> <*> - - -] [instance: <*> <*> successful,"70,161,252,343,440,522,615,715,800,891,998,1083,1170,1273,1368,1455,1549,1650,1739,1833,1924"
<*> <*> <*> <*> INFO nova.virt.libvirt.driver <*> <*> <*> - - -] [instance: <*> <*> image,"73,167,255,346,443,525,618,718,803,894,1000,1086,1173,1276,1371,1458,1552,1653,1742,1836,1927"
<*> <*> <*> <*> INFO nova.virt.libvirt.driver [-] [instance: <*> Instance spawned successfully.,"23,113,206,296,384,481,569,660,756,847,935,1035,1128,1214,1315,1413,1499,1591,1695,1783,1876,1969"
<*> <*> <*> <*> INFO nova.virt.libvirt.driver [-] [instance: <*> Instance destroyed successfully.,"47,140,224,318,411,497,589,686,774,868,970,1060,1145,1244,1346,1433,1517,1625,1717,1804,1899,1998"
<*> <*> <*> <*> INFO nova.compute.manager <*> <*> <*> - - -] [instance: <*> Took <*> seconds to build instance.,"29,117,210,300,390,485,573,666,760,851,939,1041,1132,1218,1319,1417,1501,1595,1699,1787,1880,1973"
<*> <*> <*> <*> INFO nova.compute.resource_tracker <*> - - - - -] Auditing locally available compute resources for node <*>,"33,163,292,427,560,702,831,984,1102,1254,1385,1528,1667,1809,1935"
<*> <*> <*> <*> INFO nova.compute.resource_tracker <*> - - - - -] Total usable vcpus: <*> total allocated vcpus: <*>,"34,165,301,428,562,703,832,985,1103,1255,1386,1531,1668,1812,1938"
<*> <*> <*> <*> INFO nova.compute.resource_tracker <*> - - - - -] Final resource view: <*> <*> <*> <*> <*> <*> <*> pci_stats=[],"35,166,302,429,563,704,833,986,1104,1256,1387,1532,1669,1813,1939"
<*> <*> <*> <*> INFO nova.api.openstack.wsgi <*> <*> <*> - - -] HTTP exception thrown: No instances found for any event,"59,150,235,329,422,508,598,697,786,877,979,1072,1156,1252,1357,1444,1529,1634,1728,1819,1907"
"<*> <*> <*> <*> INFO nova.compute.claims <*> <*> <*> - - -] [instance: <*> Total memory: <*> MB, used: <*> MB","64,155,246,337,434,516,609,709,794,885,992,1077,1164,1267,1362,1449,1543,1644,1733,1827,1918"
"<*> <*> <*> <*> INFO nova.compute.claims <*> <*> <*> - - -] [instance: <*> memory limit: <*> MB, free: <*> MB","65,156,247,338,435,517,610,710,795,886,1078,1165,1268,1363,1544,1645,1734,1828,1919,993,1450"
"<*> <*> <*> <*> INFO nova.compute.claims <*> <*> <*> - - -] [instance: <*> Total disk: <*> GB, used: <*> GB","66,157,248,339,436,518,611,711,796,887,1079,1166,1269,1364,1545,1646,1735,1829,1920,994,1451"
"<*> <*> <*> <*> INFO nova.compute.claims <*> <*> <*> - - -] [instance: <*> Total vcpu: <*> VCPU, used: <*> VCPU","68,159,250,341,438,520,613,713,798,889,1081,1168,1271,1366,1547,1648,1737,1831,1922,996,1453"
"<*> <*> <*> <*> INFO nova.compute.claims <*> <*> <*> - - -] [instance: <*> disk limit not specified, defaulting to unlimited","67,158,249,340,437,519,612,712,797,888,995,1080,1167,1270,1365,1452,1546,1647,1736,1830,1921"
"<*> <*> <*> <*> INFO nova.compute.claims <*> <*> <*> - - -] [instance: <*> vcpu limit not specified, defaulting to unlimited","69,160,251,342,439,521,614,714,799,890,997,1082,1169,1272,1367,1454,1548,1649,1738,1832,1923"
<*> <*> <*> <*> INFO nova.virt.libvirt.imagecache <*> - - - - -] Base or swap file too young to remove: <*>,"239,328,602,784,1260,1536,1636,1817,1911"
"<*> <*> <*> <*> INFO nova.compute.claims <*> <*> <*> - - -] [instance: <*> Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU","63,154,245,336,433,515,608,708,793,884,1076,1163,1266,1361,1542,1643,1732,1826,1917,991,1448"
<*> <*> <*> <*> INFO nova.compute.manager [-] [instance: <*> VM Stopped (Lifecycle Event),"75,170,258,349,446,527,621,720,806,897,1003,1088,1175,1278,1374,1461,1554,1656,1745,1839,1930"
<*> <*> <*> <*> INFO nova.compute.manager <*> - - - - -] Running instance usage audit for host <*> from <*> <*> to <*> <*> <*> instances.,139
"<*> <*> <*> <*> WARNING nova.compute.manager <*> - - - - -] While synchronizing instance power states, found <*> instances in the database and <*> instances on the hypervisor.",1296
<*> <*> <*> <*> INFO nova.compute.manager [-] [instance: <*> During sync_power_state the instance has a pending task (spawning). Skip.,1320
